Macierz;0.25;10;120.04;;Lista;0.25;10;133.35
Macierz;0.25;25;520.42;;Lista;0.25;25;557.02
Macierz;0.25;50;2891.05;;Lista;0.25;50;2965.63
Macierz;0.25;75;4599.72;;Lista;0.25;75;5380.89
Macierz;0.25;100;9845.44;;Lista;0.25;100;10542.9
Macierz;0.5;10;77.42;;Lista;0.5;10;89.08
Macierz;0.5;25;524.86;;Lista;0.5;25;618.28
Macierz;0.5;50;2325.69;;Lista;0.5;50;3016.12
Macierz;0.5;75;6014.47;;Lista;0.5;75;7770.41
Macierz;0.5;100;12163.5;;Lista;0.5;100;16041.6
Macierz;0.75;10;104.22;;Lista;0.75;10;133.42
Macierz;0.75;25;654.1;;Lista;0.75;25;855.75
Macierz;0.75;50;2847.53;;Lista;0.75;50;4239.76
Macierz;0.75;75;7394.38;;Lista;0.75;75;11250.8
Macierz;0.75;100;15134.8;;Lista;0.75;100;25275.4
Macierz;1;10;130.91;;Lista;1;10;156.27
Macierz;1;25;852.59;;Lista;1;25;1170.78
Macierz;1;50;3422.15;;Lista;1;50;6013.52
Macierz;1;75;8855.23;;Lista;1;75;15884.3
Macierz;1;100;17416.8;;Lista;1;100;34345.1
